w,Time,e21,e20,e10
0.02,0.1151,0,0,0.000394319953302655
0.04,0.1991,1.07116868945196E-08,3.81395972508135E-13,0.00116947030204969
0.06,0.2708,5.61538538802758E-08,2.10156158265438E-11,0.00223019649849624
0.08,0.3344,1.87495923450321E-07,3.74295006966726E-11,0.00354585903458485
0.1,0.3919,4.71434560120622E-07,2.90420838781509E-10,0.00510024677515703
0.12,0.4443,1.01867638972815E-06,1.08082278979423E-09,0.00688300743146704
0.14,0.4925,1.95858572753541E-06,2.28834643431576E-09,0.00888907543515705
0.16,0.537,3.57547157932953E-06,6.1919440964899E-09,0.0111067874001598
0.18,0.5782,6.02039711757106E-06,1.3577355189598E-08,0.0135362374777542
0.2,0.6165,9.63075495179078E-06,2.87292194433826E-08,0.0161675157736443
0.22,0.6521,1.49618462570855E-05,5.50291640730924E-08,0.0189898024200254
0.24,0.6852,2.24515365001407E-05,1.00859119027175E-07,0.0219944607153321
0.26,0.7161,3.28942022439519E-05,1.74685399077863E-07,0.0251637588042282
0.28,0.7448,4.71387367098594E-05,2.99339735582838E-07,0.0284807201455425
0.3,0.7716,6.63747256818882E-05,4.99714208682612E-07,0.0319115180334141
0.32,0.7967,9.20470632944492E-05,8.08877207762128E-07,0.0354256467737289
0.34,0.82,0.00012590687296687,1.27980549958733E-06,0.0389785045742693
0.36,0.8419,0.000170105878380544,1.98799674701554E-06,0.0425194054657886
0.38,0.8623,0.000227201948251969,3.03582211909159E-06,0.0459850242995785
0.4,0.8815,0.000300344404544499,4.55003260556258E-06,0.0493086008303252
0.42,0.8995,0.000393032926424446,6.70808079027385E-06,0.0524183230471601
0.44,0.9164,0.000509196402637231,9.72232852723384E-06,0.0552436252814701
0.46,0.9324,0.000653198724453926,1.38544868554314E-05,0.0577208339112724
0.48,0.9476,0.0008296385309135,1.9404987262733E-05,0.0597967593915002
0.5,0.962,0.00104325812648998,2.67101880007525E-05,0.061433803608996
0.52,0.9758,0.0012989235028691,3.61300864726389E-05,0.0626101913170865
0.54,0.9889,0.00160147822358894,4.8029495217734E-05,0.0633211255882305
0.56,1.0016,0.00195566056067608,6.27651493858763E-05,0.0635739950687251
0.58,1.0138,0.00236607319884808,8.06445689002717E-05,0.0633876231927141
0.6,1.0256,0.00283709877515711,0.000101920109060872,0.0627869568921605
0.62,1.0371,0.00337290425911991,0.000126747569238175,0.0618008556155199
0.64,1.0481,0.00397733325779678,0.000155164690390501,0.0604594603659416
0.66,1.0589,0.00465386678372685,0.00018704379741077,0.058792463110132
0.68,1.0694,0.00540554315936626,0.000222078703008025,0.0568279731491249
0.7,1.0797,0.00623492038570065,0.000259732575720139,0.0545919895286179
0.72,1.0896,0.00714400952978246,0.000299234155534559,0.052108046691623
0.74,1.0994,0.00813414747279295,0.00033953079515601,0.0493973242398951
0.76,1.1089,0.00920611115803828,0.000379299835913175,0.0464786723348447
0.78,1.1182,0.0103598373320297,0.0004169034402019,0.0433688529001741
0.8,1.1272,0.0115946385662467,0.000450434697104093,0.0400828846553492
0.82,1.1361,0.0129090535101669,0.000477707515031842,0.0366342309028617
0.84,1.1448,0.014300926147676,0.000496296807814877,0.0330349900849641
0.86,1.1532,0.0157674253143179,0.000503567770982648,0.0292962956200909
0.88,1.1615,0.0173050996271476,0.000496738236712714,0.025428312592139
0.9,1.1696,0.0189100030822248,0.000472930317358879,0.0214405628018511
0.92,1.1775,0.0205776445357217,0.000429232943724159,0.0173419048532076
0.94,1.1853,0.022303319433633,0.000362775825308877,0.013140760160225
0.96,1.1928,0.0240819951438254,0.00027078985637097,0.0088450777004807
0.98,1.2003,0.0259085181356592,0.000150662481691424,0.00446242318649725
1,1.2075,0.0277777730240512,0,0
,,,,
Data for table 1.,,,,
0.3,0.7716,6.63857634384915E-05,4.99224403012547E-07,0.0319110505653814
0.375,0.8573,0.000211551272359969,2.73549752955004E-06,0.0451293592937685
0.441,0.9172,0.000515701594457484,9.89900847163336E-06,0.0553763993813257
0.5,0.962,0.00104325177731254,2.67099482371949E-05,0.0614337410612847
0.621,1.0376,0.00340147028945474,0.00012808434881678,0.061741984201052
0.668,1.0632,0.00494536676829183,0.000200703962768905,0.0580408702500091
