w,Time,d1,d2,g
0.01,0.066,0.00032200959662472104,0.0012807328970149913,1.0
0.02,0.1129,0.0006208332044323532,0.0024550259304727882,1.0
0.03,0.1527,0.0009066799714608246,0.0035644695063188413,1.0
0.04,0.1879,0.0011823172440294544,0.004620553509453525,1.0
0.05,0.2199,0.0014491285822668622,0.00562917274577187,1.0
0.06,0.2493,0.0017079332455198976,0.006593923004309207,1.0
0.07,0.2766,0.00195926271067003,0.007517188709730417,1.0
0.08,0.3021,0.002203467261171232,0.008400651289959267,1.0
0.09,0.326,0.0024407771202541294,0.009245538744216759,1.0
0.1,0.3486,0.0026713481168789714,0.01005274706742396,1.0
0.11,0.3701,0.002895269856283793,0.010822955121658663,1.0
0.12,0.3904,0.0031125976896474415,0.011556646332079002,1.0
0.13,0.4098,0.003323335888524415,0.012254200764568481,1.0
0.14,0.4283,0.003527459773003181,0.01291589218534488,1.0
0.15,0.4461,0.0037249313361680594,0.013541886904782946,1.0
0.16,0.4631,0.003915671677919829,0.014132321377907823,1.0
0.17,0.4795,0.004099596656518387,0.014687248037478189,1.0
0.18,0.4953,0.0042765943352208674,0.015206693711822025,1.0
0.19,0.5105,0.004446534453790023,0.015690651190073623,1.0
0.2,0.5252,0.004609282996298452,0.016139058502317453,1.0
0.21,0.5394,0.004764681656988816,0.01655184681486315,1.0
0.22,0.5532,0.0049125485242796285,0.016928944666239863,1.0
0.23,0.5666,0.0050527099138498455,0.017270218951344996,1.0
0.24,0.5796,0.00518495094247879,0.017575577672124598,1.0
0.25,0.5922,0.005309066687406935,0.01784487091737775,1.0
0.26,0.6046,0.005424824677520168,0.018077968698276662,1.0
0.27,0.6167,0.005531980890632221,0.018274731381072166,1.0
0.28,0.6284,0.005630280553004792,0.01843501019688967,1.0
0.29,0.64,0.005719457064871014,0.01855865123899259,1.0
0.3,0.6513,0.005799216836466858,0.018645527422836986,1.0
0.31,0.6625,0.0058692640233450645,0.018695490468462576,1.0
0.32,0.6734,0.005929281953670967,0.018708409348477263,1.0
0.33,0.6842,0.005978959512210035,0.018684118698581487,1.0
0.34,0.6949,0.006017918680799314,0.018622564806523034,1.0
0.35,0.7054,0.006045813337791055,0.018523608995807867,1.0
0.36,0.7159,0.006062288799759326,0.018387109445174143,1.0
0.37,0.7262,0.006066925563711689,0.018213034539440717,1.0
0.38,0.7365,0.006059336429743707,0.018001269403888426,1.0
0.39,0.7468,0.006039091737717378,0.017751766154155343,1.0
0.4,0.7571,0.006005753440414101,0.01746447642756144,1.0
0.41,0.7673,0.005958843447273405,0.017139415329418466,1.0
0.42,0.7776,0.005897907917468498,0.016776533436878925,1.0
0.43,0.7879,0.005822448300784198,0.016375855267142102,1.0
0.44,0.7983,0.005731943051704646,0.015937436356947814,1.0
0.45,0.8088,0.005625868821262373,0.015461321344947838,1.0
0.46,0.8195,0.005503673979700347,0.01494759734600433,1.0
0.47,0.8302,0.005364783252878722,0.014396385050826386,1.0
0.48,0.8412,0.005208607002347526,0.013807820484302256,1.0
0.49,0.8524,0.00503453042411399,0.013182076868991548,1.0
0.5,0.8638,0.004841929166126104,0.012519333585736652,1.0
0.51,0.8755,0.004630142063290361,0.01181983082627599,1.0
0.52,0.8876,0.004398478344496895,0.011083855219856057,1.0
0.53,0.9001,0.004146256123602698,0.010311662799292135,1.0
0.54,0.9131,0.0038727443819944686,0.009503594878697398,1.0
0.55,0.9266,0.0035771869067267527,0.008660029902306158,1.0
0.56,0.9408,0.0032588186185706428,0.007781350377869417,1.0
0.57,0.9557,0.0029168267950619602,0.006868019868589563,1.0
0.58,0.9716,0.0025503916911379884,0.005920501017615932,1.0
0.59,0.9886,0.0021586486833156766,0.004939330329001477,1.0
0.6,1.007,0.0017407089714257726,0.003925075612312818,1.0
0.61,1.0273,0.001295647681907366,0.00287835837156673,1.0
0.62,1.0502,0.0008225121241040102,0.0017998356033624497,1.0
0.63,1.0777,0.0003203102633460751,0.000690220834573302,1.0
